nbSalle,gen,spread,graph,findNeibors,mst,corridor
100,231,7378,39,9067,576,65524,
110,205,10543,42,10854,621,83009,
120,222,10424,43,12535,682,95706,
130,238,8086,63,14606,776,112247,
140,289,14092,49,16755,837,131125,
150,272,16012,52,18962,896,150176,
160,288,18215,56,21214,975,169775,
170,303,20483,75,23781,1034,193355,
180,315,22933,60,27969,1189,211047,
190,336,50813,63,29231,1206,237679,
200,371,59506,87,32509,1249,265298,
210,417,64298,69,36496,1340,289873,
220,429,87003,71,39936,1402,312665,
230,415,95794,74,46262,1584,342831,
240,464,42430,76,45582,1549,380143,
250,478,45999,79,49137,1610,419100,
260,462,80805,82,53025,1703,441209,
270,348,85770,86,56928,1745,482648,
280,521,94136,86,61020,1837,518065,
290,562,70225,89,65251,1901,537418,
300,559,85500,93,70867,2096,592506,
310,577,79971,96,75464,2060,629066,
320,590,85034,99,84302,2108,669196,
330,567,77568,101,84868,2191,709123,
340,609,149843,104,88363,2988,751222,
350,636,101990,106,93564,2342,787207,
360,645,140268,108,98854,2443,859650,
370,671,271370,112,105650,3097,880223,
380,707,239143,114,110931,2563,940615,
390,688,177934,134,116563,2657,989617,
400,712,131844,120,120955,2705,1022621,
410,700,138276,123,128504,2781,1103794,
420,792,165186,125,134419,2879,1116262,
430,898,215165,128,140727,2952,1212804,
440,781,213377,131,146835,3015,1261211,
450,814,188894,133,153145,3086,1274030,
460,780,270919,153,160036,3157,1362479,
470,813,107568,139,166940,3260,1423956,
480,850,240448,141,177766,3308,1486468,
490,847,279159,144,180846,3377,1517297,
